headline,date,url,description
At least 9 killed in blast at suspected fireworks factory in Thailand,7/30/2025,https://apnews.com/video/at-least-9-killed-in-blast-at-suspected-fireworks-factory-in-thailand-a399e8215a944fef870e13e24ae094ac,"At least nine people have been killed in an explosion at what’s believed to have been a fireworks factory in Thailand, on Wednesday, according to local officials."
Female tour guides in Afghanistan lead women-only groups as some travelers return,7/30/2025,https://apnews.com/article/afghanistan-women-tourism-guides-85ec28ecf39a273ea9f701a005cd7402,"Afghanistan is seeing the emergence of local female tour guides, in a country whose Taliban government imposes the world’s harshest restrictions on women and girls."
Francesca Albanese says US sanctions over her criticism of Israel will seriously impact her life,7/30/2025,https://apnews.com/article/un-investigator-francesca-albanese-israel-gaza-famine-007fee19bac67a7da02eb153b2e66e03,An independent U.N. investigator and outspoken critic of Israel’s policies in Gaza says the sanctions recently imposed on her by the Trump administration will seriously impact her life and work.
Displaced Palestinians wait for food to be distributed at charity kitchen in Khan Younis,7/30/2025,https://apnews.com/video/displaced-palestinians-wait-for-food-to-be-distributed-at-charity-kitchen-in-khan-younis-b9ee10d3a2f8489f86ede9368f0bc917,"Scores of Palestinians lined up at a charity kitchen in Gaza’s southern city of Khan Younis on Tuesday, hoping for a share of whatever meal they could get for the entire day, as humanitarians continue to warn of looming famine."
UCLA reaches $6 million settlement with Jewish students and professor over campus protests,7/30/2025,https://apnews.com/article/ucla-settlement-jewish-students-professor-protest-suit-216b78e0ea29e529668aecf5d1019b47,"The University of California, Los Angeles, has reached a $6 million settlement with three Jewish students and a Jewish professor who filed a lawsuit alleging UCLA violated their civil rights."
"As US grapples with China relations, Taiwan’s president scraps stop on American soil",7/30/2025,https://apnews.com/article/taiwan-china-trump-lai-f8bae1421f9d55e240a50671e14ec23f,The Associated Press has learned that the Taiwanese government has called off a plan for its president to transit through the United States on his way to Latin America.
Explosions on the Gaza skyline seen from southern Israel,7/30/2025,https://apnews.com/video/explosions-on-the-gaza-skyline-seen-from-southern-israel-33b47283c5fa4f87903c4e1b121a24e7,"Large explosions were seen early on Wednesday on the Gaza skyline from southern Israel. On Tuesday, the Palestinian death toll in Gaza passed 60,000."
Thailand and Cambodia ceasefire holds despite reports of skirmishes,7/30/2025,https://apnews.com/article/thailand-cambodia-border-clash-ceasefire-36da6c2ba1a1c33a16ca6ddf1cb82bda,A ceasefire between Thailand and Cambodia appears to be holding as tensions linger despite a truce agreement.
"UN conference backs two-state solution, calls on Israel to commit to a Palestinian state",7/30/2025,https://apnews.com/article/un-israel-palestinians-twostate-gaza-declaration-conflict-7373306d09d7efbb634dab53be711586,A high-level U.N. conference gave “unwavering support” to a two-state solution and called on Israel to commit to a Palestinian state.
Pope Leo XIV surprises Catholic youth festival with unexpected popemobile salute,7/30/2025,https://apnews.com/video/pope-leo-xiv-surprises-catholic-youth-festival-with-unexpected-popemobile-salute-e211fcec5fcd4432ae3d9f5f139fd881,"Pope Leo XIV surprised tens of thousands of young Catholics on Tuesday and showed up unexpectedly at a Holy Year welcome ceremony, thrilling the kids and receiving a rock star’s welcome in the first big youth event of his pontificate."
Union Pacific and Norfolk seek 1st transcontinental railroad through a massive merger,7/30/2025,https://apnews.com/article/union-pacific-norfolk-southern-transcontinental-railroad-merger-b15664ec5cc55b985a0a32a1bf990d41,"Union Pacific is seeking to buy Norfolk Southern in a $85 billion deal that would create the first transcontinental railroad in the U.S, and potentially trigger a final wave of rail mergers across the country."
Democrats implore Trump to step up role in addressing suffering and starvation in Gaza,7/30/2025,https://apnews.com/article/democrats-gaza-israel-starvation-trump-c20c442ffa6e6379df7cbc3fe75404ac,Senate Democrats are imploring President Donald Trump’s administration to step up its role in addressing suffering and starvation in Gaza.
